submittedAt,name,category,subcategory,brand,description,price,costPrice,stockQuantity,unit,status,isFeatured,imageUrl,barcode,weightInGrams,shortDescription,netWeight,packageSize,unitsPerCarton,origin,ingredients,allergens,nutritionalInfo,servingSize,servingsPerPack,storageInstructions,shelfLifeDays,requiresRefrigeration,requiresFreezing,isOrganic,isHalal,isKosher,isVegan,isGlutenFree,nafdacNumber,tags
01/04/2026 15.37.50,Cacahuetes Salados,Snacks,Peanut,Salysol,Salysol Salted Peanuts are roasted to perfection and lightly salted for the ideal snack. Packed in a convenient tin to keep them fresh and crunchy. A protein-rich snack great for any occasion.,900,1000,120,Tin,Active,Yes,https://res.cloudinary.com/nigittriple/image/upload/v1776605086/claude/cacahuetes-salados-000530.jpg,8423371000530,60,Salysol salted peanuts – perfectly roasted and salted for an irresistible crunchy snack.,60g,Tin,24,Spain,,Peanuts,"{""calories"": 567, ""protein_g"": 25, ""carbs_g"": 20, ""fat_g"": 46, ""fiber_g"": 8, ""sodium_mg"": 350}",30g,~2 servings,"Store in a cool, dry place. Reseal after opening.",365,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,,peanuts|salted peanuts|nuts|snack|Salysol
02/04/2026 13.42.36,Bretzel,Snacks,Bretzel,Salysol,"Salysol Pretzels are baked golden and sprinkled with salt for that classic pretzel taste. Light and crispy, they're perfect with dips, cheese, or enjoyed straight from the tin.",900,1000,10,Tin,Active,Yes,https://res.cloudinary.com/nigittriple/image/upload/v1776605095/claude/bretzel-006303.jpg,8423371006303,25,"Salysol Pretzels – classic crispy salted pretzels, a timeless snack for all occasions.",25g,Tin,24,Spain,,Gluten|Sesame,"{""calories"": 380, ""protein_g"": 10, ""carbs_g"": 72, ""fat_g"": 6, ""fiber_g"": 3, ""sodium_mg"": 900}",25g,~2 servings,"Store in a cool, dry place. Reseal after opening.",365,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,,pretzel|snack|baked snack|Salysol
02/04/2026 13.47.57,Anacardos,Snacks,Nuts,Salysol,"Salysol Cashews offer the classic creamy, buttery taste in every bite. Lightly roasted and salted. A great source of copper and magnesium. Perfect for snacking or adding to stir-fries and curries.",900,1000,70,Tin,Active,Yes,https://res.cloudinary.com/nigittriple/image/upload/v1776605105/claude/anacardos-002497.jpg,8423371002497,40,"Salysol Cashews – smooth, buttery cashew nuts lightly salted and ready to snack.",40g,Tin,24,Spain,,Tree Nuts,"{""calories"": 553, ""protein_g"": 18, ""carbs_g"": 30, ""fat_g"": 44, ""fiber_g"": 3, ""sodium_mg"": 180}",30g,~2 servings,"Store in a cool, dry place. Reseal after opening.",365,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,,cashews|nuts|snack|Salysol
02/04/2026 14.00.48,Coco Pops,Snacks,Pops,Kellogg's,Kellogg's Coco Pops are chocolate-flavoured rice cereal puffs that turn your milk into a chocolatey treat. Fortified with vitamins and minerals. The kids' breakfast staple since 1958.,3500,3800,4,Carton,Active,Yes,https://res.cloudinary.com/nigittriple/image/upload/v1776605115/claude/coco-pops-317836.jpg,6154000317836,414,Kellogg's Coco Pops – the classic chocolate rice cereal loved by kids and adults alike.,414g,Carton,12,UK,,Gluten,"{""calories"": 378, ""protein_g"": 5, ""carbs_g"": 83, ""fat_g"": 2.7, ""fiber_g"": 2, ""sodium_mg"": 580}",30g,~14 servings,"Store in a cool, dry place. Once opened, reseal or transfer to an airtight container.",365,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,cereal|coco pops|breakfast|Kellogg's|chocolate cereal
02/04/2026 14.07.37,Moons & Stars,Snacks,Choco Cereal,Kellogg's,Kellogg's Moons & Stars is a cocoa-flavoured breakfast cereal shaped into playful moons and stars. Fortified with B vitamins and iron for a nutritious start to the day.,3500,3800,3,Carton,Active,Yes,https://res.cloudinary.com/nigittriple/image/upload/v1776605124/claude/moons-stars-317843.jpg,6154000317843,414,"Kellogg's Moons & Stars – a chocolatey cereal shaped like moons and stars, making breakfast fun for kids.",414g,Carton,12,UK,,Gluten,"{""calories"": 370, ""protein_g"": 5, ""carbs_g"": 80, ""fat_g"": 2.5, ""fiber_g"": 3, ""sodium_mg"": 550}",30g,~14 servings,"Store in a cool, dry place. Once opened, reseal or transfer to an airtight container.",365,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,cereal|breakfast|Kellogg's|chocolate cereal|kids cereal
02/04/2026 14.20.54,Frosties,Snacks,Frosted flakes,Kellogg's,"Kellogg's Frosties are golden corn flakes coated in a sweet frosting. Crispy, light and delicious with cold milk. A breakfast classic since 1952, now fortified with vitamins and iron.",3500,3850,1,Carton,Active,Yes,https://res.cloudinary.com/nigittriple/image/upload/v1776605135/claude/frosties-317867.jpg,6154000317867,414,Kellogg's Frosties – the iconic sugar-frosted corn flakes. Theyyyyy're GREAT!,414g,Carton,12,UK,,Gluten,"{""calories"": 375, ""protein_g"": 5, ""carbs_g"": 86, ""fat_g"": 0.9, ""fiber_g"": 1, ""sodium_mg"": 590}",30g,~14 servings,"Store in a cool, dry place. Once opened, reseal or transfer to an airtight container.",365,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,cereal|Frosties|breakfast|Kellogg's|corn flakes
02/04/2026 14.30.00,Rellenitos,Snacks,Strawberry,Salysol,Salysol Rellenitos feature airy biscuit shells filled with luscious strawberry cream. A delightful snack that delivers a burst of fruity sweetness in every bite.,900,1000,20,Tin,Active,Yes,https://res.cloudinary.com/nigittriple/image/upload/v1776605150/claude/rellenitos-005429.jpg,8423371005429,60,"Salysol Strawberry Filled Snacks – light, crispy biscuits filled with sweet strawberry cream.",60g,Tin,24,Spain,,Gluten|Dairy,"{""calories"": 430, ""protein_g"": 4, ""carbs_g"": 62, ""fat_g"": 20, ""fiber_g"": 1, ""sodium_mg"": 150}",30g,~2 servings,"Store in a cool, dry place. Reseal after opening.",365,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,,filled snack|strawberry|biscuit|Salysol
02/04/2026 14.36.54,Organic Chamomile Tea 25 sealed bags,Beverages,Organic Tea,ZOD,"ZOD Organic Chamomile Tea features 100% certified organic chamomile flowers, hand-selected for their delicate floral aroma. Caffeine-free and naturally calming, perfect for evening relaxation. Each bag is individually sealed to preserve freshness.",5000,6000,1,Pack,Active,Yes,https://res.cloudinary.com/nigittriple/image/upload/v1776605158/claude/organic-chamomile-tea-25-sealed-bags-010025.jpg,9342390010025,31.25,"ZOD Organic Chamomile Tea – soothing, naturally caffeine-free chamomile in 25 individually sealed bags.",31.25g,25 sealed bags,12,Australia,100% organic chamomile flowers,,"{""calories"": 1, ""protein_g"": 0, ""carbs_g"": 0.2, ""fat_g"": 0, ""fiber_g"": 0, ""sodium_mg"": 0}",1 teabag (1.25g),25 cups,"Store in a cool, dry place away from strong odours. Keep sealed.",730,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,,tea|chamomile tea|organic tea|herbal tea|caffeine free|ZOD
02/04/2026 14.42.08,Pure Peppermint Tea 25 Sealed bags,Beverages,Pure Tea,ZOD,"ZOD Pure Peppermint Tea is made from the finest peppermint leaves, delivering a refreshing and invigorating cup every time. Naturally caffeine-free, it's a perfect digestive aid and palate cleanser. Individually sealed for lasting freshness.",5000,6000,1,Pack,Active,Yes,https://res.cloudinary.com/nigittriple/image/upload/v1776605168/claude/pure-peppermint-tea-25-sealed-bags-010018.jpg,9342390010018,31.25,"ZOD Pure Peppermint Tea – refreshingly cool, caffeine-free peppermint in 25 individually sealed bags.",31.25g,25 sealed bags,12,Australia,100% pure peppermint leaves,,"{""calories"": 1, ""protein_g"": 0, ""carbs_g"": 0.2, ""fat_g"": 0, ""fiber_g"": 0, ""sodium_mg"": 0}",1 teabag (1.25g),25 cups,"Store in a cool, dry place away from direct sunlight",730,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,,tea|peppermint tea|herbal tea|caffeine free|ZOD
02/04/2026 14.46.28,Ceylon Green Tea _25 Sealed bags,Beverages,Green Tea,ZOD,ZOD Ceylon Green Tea is sourced from the highlands of Sri Lanka. Light and refreshing with natural antioxidants and a subtle grassy note. Brew at 80°C for 2–3 minutes for the perfect cup.,5000,6000,1,Pack,Active,Yes,https://res.cloudinary.com/nigittriple/image/upload/v1776605178/claude/ceylon-green-tea-25-sealed-bags-010063.jpg,9342390010063,50,"ZOD Ceylon Green Tea – fresh and light with natural antioxidants, in 25 individually sealed bags.",50g,25 sealed bags,12,Sri Lanka,Ceylon green tea leaves,,"{""calories"": 2, ""protein_g"": 0, ""carbs_g"": 0.3, ""fat_g"": 0, ""fiber_g"": 0, ""sodium_mg"": 2}",1 teabag (2g),25 cups,"Store in a cool, dry place away from direct sunlight",730,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,,tea|green tea|Ceylon|antioxidant|ZOD
02/04/2026 14.51.44,Cinnamon Black Tea _25 Sealed bags,Beverages,Black Tea,ZOD,"ZOD Cinnamon Black Tea uses the finest Ceylon black tea leaves. Full-bodied and aromatic, it pairs beautifully with milk or can be enjoyed straight. Each bag is individually sealed to preserve freshness and aroma.",5000,6000,1,Pack,Active,Yes,https://res.cloudinary.com/nigittriple/image/upload/v1776605190/claude/cinnamon-black-tea-25-sealed-bags-010070.jpg,9342390010070,50,"ZOD Cinnamon Black Tea – premium Ceylon black tea with a bold character, 25 individually sealed bags.",50g,25 sealed bags,12,Australia,"Ceylon black tea, cinnamon",,"{""calories"": 2, ""protein_g"": 0, ""carbs_g"": 0.3, ""fat_g"": 0, ""fiber_g"": 0, ""sodium_mg"": 2}",1 teabag (2g),25 cups,"Store in a cool, dry place away from direct sunlight",730,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,,tea|black tea|Ceylon|ZOD|cinnamon tea
02/04/2026 14.57.49,Organic Rooibos Tea _25 Sealed bags,Beverages,Rooibos Tea,ZOD,"ZOD Organic Rooibos Tea is made from certified organic South African red bush. Naturally sweet, earthy, and completely caffeine-free. Rich in antioxidants. Perfect for all hours of the day.",5000,6000,1,Pack,Active,Yes,https://res.cloudinary.com/nigittriple/image/upload/v1776605199/claude/organic-rooibos-tea-25-sealed-bags-010056.jpg,9342390010056,37.5,"ZOD Organic Rooibos Tea – earthy, caffeine-free South African red bush tea in 25 individually sealed bags.",37.5g,25 sealed bags,12,Australia,100% organic Rooibos (Aspalathus linearis),,"{""calories"": 0, ""protein_g"": 0, ""carbs_g"": 0, ""fat_g"": 0, ""fiber_g"": 0, ""sodium_mg"": 0}",1 teabag (1.5g),25 cups,"Store in a cool, dry place away from direct sunlight",730,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,,tea|rooibos|organic|caffeine free|ZOD|herbal tea
02/04/2026 15.06.48,Ceylon Black Tea 25 Sealed bags,Beverages,Black Tea,ZOD,"ZOD Ceylon Black Tea 25 Sealed bags uses the finest Ceylon black tea leaves. Full-bodied and aromatic, it pairs beautifully with milk or can be enjoyed straight. Each bag is individually sealed to preserve freshness and aroma.",5000,6000,1,Pack,Active,Yes,https://res.cloudinary.com/nigittriple/image/upload/v1776605208/claude/ceylon-black-tea-25-sealed-bags-010032.jpg,9342390010032,50,"ZOD Ceylon Black Tea 25 Sealed bags – premium Ceylon black tea with a bold character, 25 individually sealed bags.",50g,25 sealed bags,12,Australia,Ceylon black tea,,"{""calories"": 2, ""protein_g"": 0, ""carbs_g"": 0.3, ""fat_g"": 0, ""fiber_g"": 0, ""sodium_mg"": 2}",1 teabag (2g),25 cups,"Store in a cool, dry place away from direct sunlight",730,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,,tea|black tea|Ceylon|ZOD
02/04/2026 15.16.41,Earl Grey Black Tea _25 Sealed bags,Beverages,Black Tea,ZOD,"ZOD Earl Grey Black Tea uses the finest Ceylon black tea leaves. Full-bodied and aromatic, it pairs beautifully with milk or can be enjoyed straight. Each bag is individually sealed to preserve freshness and aroma.",5000,6000,1,Pack,Active,Yes,https://res.cloudinary.com/nigittriple/image/upload/v1776605218/claude/earl-grey-black-tea-25-sealed-bags-010049.jpg,9342390010049,50,"ZOD Earl Grey Black Tea – premium Ceylon black tea with a bold character, 25 individually sealed bags.",50g,25 sealed bags,12,Australia,"Ceylon black tea, bergamot oil",,"{""calories"": 2, ""protein_g"": 0, ""carbs_g"": 0.3, ""fat_g"": 0, ""fiber_g"": 0, ""sodium_mg"": 2}",1 teabag (2g),25 cups,"Store in a cool, dry place away from direct sunlight",730,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,,tea|black tea|Ceylon|ZOD|earl grey
02/04/2026 15.43.20,Almendras Fritas,Snacks,Nuts,Salysol,Salysol Roasted Almonds are carefully selected and roasted to bring out their natural nutty flavour. Rich in Vitamin E and healthy monounsaturated fats. A great on-the-go snack or topping for salads and desserts.,900,1000,35,Tin,Active,Yes,https://res.cloudinary.com/nigittriple/image/upload/v1776605228/claude/almendras-fritas-002459.jpg,8423371002459,40,"Salysol Almonds – crispy roasted almonds, a nutritious and satisfying snack rich in healthy fats.",40g,Tin,24,Spain,,Tree Nuts,"{""calories"": 579, ""protein_g"": 21, ""carbs_g"": 22, ""fat_g"": 50, ""fiber_g"": 12, ""sodium_mg"": 200}",30g,~2 servings,"Store in a cool, dry place. Reseal after opening.",365,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,,almonds|nuts|roasted almonds|snack|Salysol
02/04/2026 16.08.28,Cacahuetes Con Chocolate,Snacks,Chocolate,Salysol,Salysol Salted Peanuts are roasted to perfection and lightly salted for the ideal snack. Packed in a convenient tin to keep them fresh and crunchy. A protein-rich snack great for any occasion.,900,1000,70,Tin,Active,Yes,https://res.cloudinary.com/nigittriple/image/upload/v1776605248/claude/cacahuetes-con-chocolate-000493.jpg,8423371000493,60,Salysol salted peanuts – perfectly roasted and salted for an irresistible crunchy snack.,60g,Tin,24,Spain,,Peanuts,"{""calories"": 567, ""protein_g"": 25, ""carbs_g"": 20, ""fat_g"": 46, ""fiber_g"": 8, ""sodium_mg"": 350}",30g,~2 servings,"Store in a cool, dry place. Reseal after opening.",365,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,,peanuts|salted peanuts|nuts|snack|Salysol
02/04/2026 16.47.59,Aceitunas Con Limon,Snacks,Olives,Salysol,Salysol Aceitunas Con Limon features premium Spanish green olives marinated with natural lemon flavour. A perfect tapa or cocktail snack. Packed in a convenient resealable tin.,900,1000,50,Tin,Active,Yes,https://res.cloudinary.com/nigittriple/image/upload/v1776605257/claude/aceitunas-con-limon-005467.jpg,8423371005467,120,Salysol Olives with Lemon – tangy marinated green olives with a zesty lemon flavour.,120g,Tin,24,Spain,,,"{""calories"": 115, ""protein_g"": 0.8, ""carbs_g"": 3, ""fat_g"": 11, ""fiber_g"": 1.5, ""sodium_mg"": 1500}",30g,~4 servings,"Store in a cool place. Once opened, keep refrigerated and consume within 3 days.",730,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,,olives|tapas|snack|Salysol|Spanish
02/04/2026 16.54.25,Pepinillos,Snacks,Gherkins,Salysol,"Salysol Pepinillos are crisp, pickled Spanish gherkins with a pleasantly tart and crunchy bite. Great as a snack, side, or condiment with burgers and sandwiches.",900,1000,35,Tin,Active,Yes,https://res.cloudinary.com/nigittriple/image/upload/v1776605268/claude/pepinillos-001711.jpg,8423371001711,120,"Salysol Gherkins – crisp, tangy pickled gherkins. A classic snack and condiment in a convenient tin.",120g,Tin,24,Spain,,,"{""calories"": 15, ""protein_g"": 0.6, ""carbs_g"": 3, ""fat_g"": 0.1, ""fiber_g"": 0.5, ""sodium_mg"": 800}",30g,~4 servings,"Store in a cool, dry place. Reseal after opening.",365,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,,gherkins|pickles|snack|Salysol|tapas
02/04/2026 17.04.53,1-2-3 Growing Up Milk,Beverages,Milk,Peak,"Peak 1-2-3 Growing Up Milk is a premium follow-on formula for children aged 1–3 years. Enriched with DHA for brain development, plus essential vitamins A, C, and D for healthy growth. Easy to prepare and loved by toddlers.",6000,6100,3,Pack,Active,Yes,https://res.cloudinary.com/nigittriple/image/upload/v1776605276/claude/1-2-3-growing-up-milk-438131.jpg,8716200438131,360,"Peak 1-2-3 Growing Up Milk – specially formulated with DHA, vitamins and minerals to support toddler development.",360g,Pack,12,Netherlands,"Skimmed milk, whey protein, vegetable oils, maltodextrin, vitamins and minerals, DHA",Dairy|Soy,"{""calories"": 505, ""protein_g"": 15, ""carbs_g"": 57, ""fat_g"": 22, ""fiber_g"": 0, ""sodium_mg"": 200}",30g per serving,~12 servings,"Store in a cool, dry place away from direct sunlight",730,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,,baby milk|toddler milk|peak milk|growing up milk|DHA
02/04/2026 17.14.21,Peak Full Cream,Beverages,Instant Milk Powder,Peak,"Peak Full Cream Instant Milk Powder 350g delivers full dairy nutrition in convenient powdered form. Mix with warm water for a creamy cup of milk, or use in cooking, baking, and cereals. Fortified with Vitamins A and D.",5000,5350,4,Pack,Active,Yes,https://res.cloudinary.com/nigittriple/image/upload/v1776605287/claude/peak-full-cream-449342.jpg,8716200449342,350,"Peak Full Cream Instant Milk Powder – rich, creamy whole milk powder packed with protein and calcium.",350g,Pack,12,Netherlands,"Full cream milk powder, vitamins A and D",Dairy,"{""calories"": 496, ""protein_g"": 26, ""carbs_g"": 38, ""fat_g"": 27, ""fiber_g"": 0, ""sodium_mg"": 380}",25g per serving,~14 servings,"Store in a cool, dry place away from direct sunlight",730,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,,milk powder|full cream milk|peak milk|dairy
02/04/2026 17.32.12,DANO MILK UHT FULL CREAM 3.5%FAT,Beverages,Milk Goodness 1Litre,Arla DANO,"Arla DANO UHT Full Cream Milk contains 3.5% fat for a rich, satisfying taste. Long-life UHT processing means no refrigeration needed until opened. Perfect for drinking, cooking, or pouring over cereals.",4000,4080,14,Tin,Active,Yes,https://res.cloudinary.com/nigittriple/image/upload/v1776605297/claude/dano-milk-uht-full-cream-3-5-fat-099800.jpg,4100290099800,1000,"Arla DANO UHT Full Cream Milk 3.5% – smooth, full-bodied long-life milk ready to enjoy straight from the carton.",1L,Carton,12,Denmark,Full cream UHT milk (3.5% fat),Dairy,"{""calories"": 63, ""protein_g"": 3.3, ""carbs_g"": 4.8, ""fat_g"": 3.5, ""fiber_g"": 0, ""sodium_mg"": 44}",200ml,~5 servings,Store at room temperature. Refrigerate after opening and use within 3 days.,180,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,,UHT milk|full cream milk|DANO|Arla|long life milk
